id_instrumento,id_emisor,id_tipo_inversion,codigo_titulo,nombre,fecha_emision,fecha_vencimiento,tasa_referencial,rendimiento_nominal,codigo_seb,codigo_bce,fechas_recuperacion,vector_precio,activo,fecha_creacion,fecha_actualizacion,codigo_titulo_vector,match_status
110,139,4,INV_4_20311208,2025-12-08 BONOS DEL ESTADO 2031-12-08,2025-12-08,2031-12-08,7.35,,,,,0.900812195648399,1,2026-03-30 02:40:24,2026-03-30 02:40:24,045040100101311208,matched_2d
111,141,3,INV_3_20220414,Superdeporte 2022-04-14,,2022-04-14,8.76,,,,,,1,2026-03-30 02:40:24,2026-03-30 02:40:24,,no_match_or_ambiguous
112,139,4,INV_4_20250512,2021-05-12 BONOS DEL ESTADO 2025-05-12,2021-05-12,2025-05-12,4.71,,,,,,1,2026-03-30 02:40:24,2026-03-30 02:40:24,,no_match_or_ambiguous
113,139,4,INV_4_20290524,2023-05-24 BONOS DEL ESTADO 2029-05-24,2023-05-24,2029-05-24,5.36,,,,,0.919652362794221,1,2026-03-30 02:40:24,2026-03-30 02:40:24,045040100201290524,matched_2d
114,139,4,INV_4_20281228,2022-12-28 BONOS DEL ESTADO 2028-12-28,2022-12-28,2028-12-28,5.64,,,,,0.934825110804566,1,2026-03-30 02:40:24,2026-03-30 02:40:24,045040100202281228,matched_2d
115,130,2,INV_2_20191207,2019-07-10 CARTIMEX S. A. 2019-12-07,2019-07-10,2019-12-07,8.25,8.25,,,,,1,2026-03-30 02:40:24,2026-04-03 09:18:18,,no_match_or_ambiguous
116,139,4,INV_4_20320711,2023-07-11 BONOS DEL ESTADO 2032-07-11,2023-07-11,2032-07-11,6.21,,,,,0.86175477201028,1,2026-03-30 02:40:24,2026-03-30 02:40:24,045040100101320711,matched_2d
117,10,73,INV_73_20341231,BANCO AUSTRO 2034-12-31,2026-03-23,2034-12-31,1.0,1.0,,,,,1,2026-03-30 02:40:24,2026-04-03 08:59:34,,no_match_or_ambiguous
118,128,1,INV_1_20200102,2018-11-28 Diners 2020-01-02,2018-11-28,2020-01-02,0.0,0.0,,,,,1,2026-03-30 02:40:24,2026-04-03 08:59:34,,no_match_or_ambiguous
119,139,4,INV_4_20301118,2024-11-18 BONOS DEL ESTADO 2030-11-18,2024-11-18,2030-11-18,5.36,,,,,0.865071390237937,1,2026-03-30 02:40:24,2026-03-30 02:40:24,045040100401301118,matched_2d
120,139,4,INV_4_20300612,2024-06-12 BONOS DEL ESTADO 2030-06-12,2024-06-12,2030-06-12,8.5,,,,,0.881484467200984,1,2026-03-30 02:40:24,2026-03-30 02:40:24,045040100401300612,matched_2d
121,128,1,INV_1_20191227,2018-06-26 Diners 2019-12-27,2018-06-26,2019-12-27,0.0,0.0,,,,,1,2026-03-30 02:40:24,2026-04-03 08:59:34,,no_match_or_ambiguous
122,128,1,INV_1_20180703,2018-04-02 Diners 2018-07-03,2018-04-02,2018-07-03,3.8,3.8,,,,,1,2026-03-30 02:40:24,2026-04-03 08:59:34,,no_match_or_ambiguous
123,128,1,INV_1_20181128,2017-09-04 Diners 2018-11-28,2017-09-04,2018-11-28,6.0,6.0,,,,,1,2026-03-30 02:40:24,2026-04-03 08:59:34,,no_match_or_ambiguous
124,132,2,INV_2_20200118,2019-09-06 INDUGEM - INDUSTRIAL GEMINIS 2020-01-18,2019-09-06,2020-01-18,8.97,8.97,,,,,1,2026-03-30 02:40:24,2026-04-03 09:18:18,,no_alias
